index,key,scenario,algorithm,experiment,file,ext
1002,crossing3_SFM_experiment_3,crossing3,SFM,3,crossing3/SFM/experiment_3.mp4,mp4
1003,crossing3_SFM_experiment_4,crossing3,SFM,4,crossing3/SFM/experiment_4.mp4,mp4
1004,crossing3_SFM_experiment_5,crossing3,SFM,5,crossing3/SFM/experiment_5.mp4,mp4
1005,crossing3_MPPI_experiment_1,crossing3,MPPI,1,crossing3/MPPI/experiment_1.mp4,mp4
1006,crossing3_MPPI_experiment_3,crossing3,MPPI,3,crossing3/MPPI/experiment_3.mp4,mp4
1007,crossing3_MPPI_experiment_4,crossing3,MPPI,4,crossing3/MPPI/experiment_4.mp4,mp4
1008,crossing3_MPPI_experiment_5,crossing3,MPPI,5,crossing3/MPPI/experiment_5.mp4,mp4
1009,crossing3_MPPIsocialcostmap_experiment_1,crossing3,MPPIsocialcostmap,1,crossing3/MPPIsocialcostmap/experiment_1.mp4,mp4
1010,crossing3_MPPIsocialcostmap_experiment_2,crossing3,MPPIsocialcostmap,2,crossing3/MPPIsocialcostmap/experiment_2.mp4,mp4
1011,crossing3_MPPIsocialcostmap_experiment_3,crossing3,MPPIsocialcostmap,3,crossing3/MPPIsocialcostmap/experiment_3.mp4,mp4
1012,crossing3_MPPIsocialcostmap_experiment_4,crossing3,MPPIsocialcostmap,4,crossing3/MPPIsocialcostmap/experiment_4.mp4,mp4
1013,crossing3_MPPIsocialcostmap_experiment_5,crossing3,MPPIsocialcostmap,5,crossing3/MPPIsocialcostmap/experiment_5.mp4,mp4
1014,crossing3_socialMPPI_experiment_1,crossing3,socialMPPI,1,crossing3/socialMPPI/experiment_1.mp4,mp4
1015,crossing3_socialMPPI_experiment_2,crossing3,socialMPPI,2,crossing3/socialMPPI/experiment_2.mp4,mp4
1016,crossing3_socialMPPI_experiment_3,crossing3,socialMPPI,3,crossing3/socialMPPI/experiment_3.mp4,mp4
1017,crossing3_socialMPPI_experiment_4,crossing3,socialMPPI,4,crossing3/socialMPPI/experiment_4.mp4,mp4
1018,crossing3_socialMPPI_experiment_5,crossing3,socialMPPI,5,crossing3/socialMPPI/experiment_5.mp4,mp4
1019,crossing3_ORCA_experiment_1,crossing3,ORCA,1,crossing3/ORCA/experiment_1.mp4,mp4
1020,crossing3_ORCA_experiment_2,crossing3,ORCA,2,crossing3/ORCA/experiment_2.mp4,mp4
1021,crossing3_ORCA_experiment_3,crossing3,ORCA,3,crossing3/ORCA/experiment_3.mp4,mp4
1022,crossing3_ORCA_experiment_4,crossing3,ORCA,4,crossing3/ORCA/experiment_4.mp4,mp4
1023,crossing3_ORCA_experiment_5,crossing3,ORCA,5,crossing3/ORCA/experiment_5.mp4,mp4
1024,crossing3_PURE_SFM_experiment_1,crossing3,PURE_SFM,1,crossing3/PURE_SFM/experiment_1.mp4,mp4
1025,crossing3_PURE_SFM_experiment_2,crossing3,PURE_SFM,2,crossing3/PURE_SFM/experiment_2.mp4,mp4
1026,crossing3_PURE_SFM_experiment_3,crossing3,PURE_SFM,3,crossing3/PURE_SFM/experiment_3.mp4,mp4
1027,crossing3_PURE_SFM_experiment_4,crossing3,PURE_SFM,4,crossing3/PURE_SFM/experiment_4.mp4,mp4
1028,crossing3_PURE_SFM_experiment_5,crossing3,PURE_SFM,5,crossing3/PURE_SFM/experiment_5.mp4,mp4
1029,narrow_turn_DWA_experiment_1,narrow_turn,DWA,1,narrow_turn/DWA/experiment_1.mp4,mp4
1030,narrow_turn_DWA_experiment_2,narrow_turn,DWA,2,narrow_turn/DWA/experiment_2.mp4,mp4
1031,narrow_turn_DWA_experiment_4,narrow_turn,DWA,4,narrow_turn/DWA/experiment_4.mp4,mp4
1032,narrow_turn_DWA_experiment_5,narrow_turn,DWA,5,narrow_turn/DWA/experiment_5.mp4,mp4
1033,narrow_turn_DWAsocialcostmap_experiment_1,narrow_turn,DWAsocialcostmap,1,narrow_turn/DWAsocialcostmap/experiment_1.mp4,mp4
1034,narrow_turn_DWAsocialcostmap_experiment_2,narrow_turn,DWAsocialcostmap,2,narrow_turn/DWAsocialcostmap/experiment_2.mp4,mp4
1035,narrow_turn_DWAsocialcostmap_experiment_3,narrow_turn,DWAsocialcostmap,3,narrow_turn/DWAsocialcostmap/experiment_3.mp4,mp4
1036,narrow_turn_DWAsocialcostmap_experiment_4,narrow_turn,DWAsocialcostmap,4,narrow_turn/DWAsocialcostmap/experiment_4.mp4,mp4
1037,narrow_turn_DWAsocialcostmap_experiment_5,narrow_turn,DWAsocialcostmap,5,narrow_turn/DWAsocialcostmap/experiment_5.mp4,mp4
1038,narrow_turn_SFM_experiment_1,narrow_turn,SFM,1,narrow_turn/SFM/experiment_1.mp4,mp4
1039,narrow_turn_SFM_experiment_3,narrow_turn,SFM,3,narrow_turn/SFM/experiment_3.mp4,mp4
1040,narrow_turn_SFM_experiment_4,narrow_turn,SFM,4,narrow_turn/SFM/experiment_4.mp4,mp4
1041,narrow_turn_MPPI_experiment_1,narrow_turn,MPPI,1,narrow_turn/MPPI/experiment_1.mp4,mp4
1042,narrow_turn_MPPI_experiment_2,narrow_turn,MPPI,2,narrow_turn/MPPI/experiment_2.mp4,mp4
1043,narrow_turn_MPPI_experiment_3,narrow_turn,MPPI,3,narrow_turn/MPPI/experiment_3.mp4,mp4
1044,narrow_turn_MPPI_experiment_4,narrow_turn,MPPI,4,narrow_turn/MPPI/experiment_4.mp4,mp4
1045,narrow_turn_MPPI_experiment_5,narrow_turn,MPPI,5,narrow_turn/MPPI/experiment_5.mp4,mp4
1046,narrow_turn_MPPIsocialcostmap_experiment_2,narrow_turn,MPPIsocialcostmap,2,narrow_turn/MPPIsocialcostmap/experiment_2.mp4,mp4
1047,narrow_turn_MPPIsocialcostmap_experiment_3,narrow_turn,MPPIsocialcostmap,3,narrow_turn/MPPIsocialcostmap/experiment_3.mp4,mp4
1048,narrow_turn_MPPIsocialcostmap_experiment_4,narrow_turn,MPPIsocialcostmap,4,narrow_turn/MPPIsocialcostmap/experiment_4.mp4,mp4
1049,narrow_turn_MPPIsocialcostmap_experiment_5,narrow_turn,MPPIsocialcostmap,5,narrow_turn/MPPIsocialcostmap/experiment_5.mp4,mp4
1050,narrow_turn_socialMPPI_experiment_1,narrow_turn,socialMPPI,1,narrow_turn/socialMPPI/experiment_1.mp4,mp4
1051,narrow_turn_socialMPPI_experiment_2,narrow_turn,socialMPPI,2,narrow_turn/socialMPPI/experiment_2.mp4,mp4
1052,narrow_turn_socialMPPI_experiment_3,narrow_turn,socialMPPI,3,narrow_turn/socialMPPI/experiment_3.mp4,mp4
1053,narrow_turn_socialMPPI_experiment_4,narrow_turn,socialMPPI,4,narrow_turn/socialMPPI/experiment_4.mp4,mp4
1054,narrow_turn_socialMPPI_experiment_5,narrow_turn,socialMPPI,5,narrow_turn/socialMPPI/experiment_5.mp4,mp4
1055,narrow_turn_ORCA_experiment_1,narrow_turn,ORCA,1,narrow_turn/ORCA/experiment_1.mp4,mp4
1056,narrow_turn_ORCA_experiment_2,narrow_turn,ORCA,2,narrow_turn/ORCA/experiment_2.mp4,mp4
1057,narrow_turn_ORCA_experiment_3,narrow_turn,ORCA,3,narrow_turn/ORCA/experiment_3.mp4,mp4
1058,narrow_turn_ORCA_experiment_4,narrow_turn,ORCA,4,narrow_turn/ORCA/experiment_4.mp4,mp4
1059,narrow_turn_ORCA_experiment_5,narrow_turn,ORCA,5,narrow_turn/ORCA/experiment_5.mp4,mp4
1060,narrow_turn_PURE_SFM_experiment_1,narrow_turn,PURE_SFM,1,narrow_turn/PURE_SFM/experiment_1.mp4,mp4
1061,narrow_turn_PURE_SFM_experiment_2,narrow_turn,PURE_SFM,2,narrow_turn/PURE_SFM/experiment_2.mp4,mp4
1062,narrow_turn_PURE_SFM_experiment_3,narrow_turn,PURE_SFM,3,narrow_turn/PURE_SFM/experiment_3.mp4,mp4
1063,narrow_turn_PURE_SFM_experiment_4,narrow_turn,PURE_SFM,4,narrow_turn/PURE_SFM/experiment_4.mp4,mp4
1064,narrow_turn_PURE_SFM_experiment_5,narrow_turn,PURE_SFM,5,narrow_turn/PURE_SFM/experiment_5.mp4,mp4
1065,mixed_DWA_experiment_1,mixed,DWA,1,mixed/DWA/experiment_1.mp4,mp4
1066,mixed_DWA_experiment_2,mixed,DWA,2,mixed/DWA/experiment_2.mp4,mp4
